NPC_Answer_do_you_really_care; "Do you really care?" 
NPC_Answer_why_do_you_ask; "Why do you ask?" 
NPC_Answer_whos_asking; "Who's asking?" 
NPC_Answer_dont_you_remember; "Don't you remember?" 
NPC_Answer_Im_fine; "I'm fine" 
NPC_Answer_Im_not_fine; "I'm not fine could be better" 
NPC_Answer_I_know_you; "I know you"
NPC_Answer_I_know_it; "I know it"
NPC_Answer_I_dont_know_it; "I don't know it"
NPC_Answer_I_dont_know_you; "I don't know you"
NPC_Answer_I_dont_know_what_you_asking_for; "I don't know what you asking for" 
NPC_Answer_Im; "I'm" 
NPC_Answer_You_are_in_pime; "You're in pime" 
NPC_Answer_Nothing; " --- nothing --- " 
