NPC_Say_Nothing; " --- nothing --- " 
NPC_Say_Hello; "Hello" 
NPC_Say_I_dont_know_you; "I don't know you!" 
NPC_Say_Im_fine; "I'm fine" 
NPC_Say_Im_not_fine; "I'm not fine could be better" 
NPC_Say_I_know; "I know" 
NPC_Say_I_dont_know; "I don't know" 
NPC_Say_I_dont_know_what_you_asking_for; "I don't know what you asking for" 
NPC_Say_Bye; "Bye" 
NPC_Say_See_you_next_time; "See you next time" 
NPC_Say_See_you_later; "See you later" 
NPC_Say_Im; "I'm" 
NPC_Say_You_are_in_pime; "You're in pime" 
